Lat,Lon,Pop Density,Intersections,Pedways,Bikeways,POIs,Transit,WalkScore
29.4829,-98.3565,3369.21,1.27,29.28,0,47.11,0,63
29.3222,-98.5048,3296.82,2.55,0,1.27,6.37,0,19
29.3921,-98.5791,177.81,0,10.19,3.82,1.27,0,1
29.5791,-98.3671,3146.52,3.82,34.38,1.27,15.28,0,40
29.6158,-98.3638,735.58,5.09,0,0,0,0,0
29.4553,-98.6505,6913.68,10.19,48.38,7.64,3.82,14.01,8
29.5298,-98.5072,4042.3,8.91,0,2.55,44.56,12.73,39
29.3382,-98.482,505.15,2.55,38.2,8.91,8.91,0,24
29.4918,-98.5854,5146.67,7.64,34.38,0,34.38,8.91,60
29.4834,-98.5109,6727.91,6.37,15.28,0,16.55,0,64
29.3972,-98.4538,5619.93,15.28,36.92,1.27,39.47,0,55
29.5329,-98.6086,4831.62,2.55,8.91,1.27,15.28,0,31
29.3191,-98.4193,355.24,3.82,0,0,3.82,0,3
29.5009,-98.5072,6114.42,8.91,68.75,0,42.02,0,70
29.4522,-98.4899,4547.13,17.83,146.42,12.73,217.72,1.27,68
29.6393,-98.5099,2104.59,10.19,8.91,8.91,17.83,0,5
29.3613,-98.4311,6404.9,5.09,21.65,6.37,33.1,0,47
29.5424,-98.5427,3480.85,2.55,3.82,2.55,5.09,0,22
29.5825,-98.7643,2.68,0,0,0,1.27,0,0
29.6577,-98.5065,2104.59,5.09,0,3.82,10.19,0,25
29.5912,-98.3352,2008.09,0,0,5.09,3.82,0,2
29.5707,-98.5376,2562.9,12.73,5.09,26.74,36.92,2.55,40
29.373,-98.5649,177.81,2.55,22.92,0,10.19,0,13
29.6295,-98.3644,1164.4,0,0,0,0,0,0
29.447,-98.3244,179.8,0,0,0,2.55,0,7
29.4833,-98.6679,2134.61,25.46,0,42.02,45.84,1.27,67
29.4249,-98.4265,1679.93,8.91,15.28,5.09,28.01,0,19
29.4358,-98.5675,4384.53,6.37,10.19,7.64,17.83,0,53
29.4668,-98.5409,4488.89,12.73,48.38,12.73,35.65,5.09,61
29.3721,-98.6128,4711.84,3.82,33.1,2.55,33.1,0,38
29.4504,-98.7038,2506.03,39.47,159.15,2.55,47.11,11.46,14
29.381,-98.4658,6724.73,20.37,47.11,0,122.23,0,22
29.605,-98.3621,735.58,2.55,0,0,1.27,0,4
29.5631,-98.7266,2.68,0,0,0,0,0,0
29.6625,-98.6294,966.09,6.37,2.55,3.82,66.21,0,49
29.6252,-98.5197,1984.24,5.09,0,15.28,6.37,0,22
29.4116,-98.6409,6134.19,10.19,38.2,1.27,22.92,21.65,39
29.5801,-98.7178,2.68,0,0,0,0,0,0
29.576,-98.4243,4351.96,2.55,0,2.55,3.82,0,15
29.6229,-98.4804,2444.79,14.01,20.37,16.55,22.92,2.55,14
29.6401,-98.6151,966.09,0,1.27,0,20.37,0,3
29.3591,-98.5937,1764.1,2.55,12.73,3.82,28.01,0,11
29.3413,-98.4804,505.15,2.55,29.28,8.91,8.91,0,29
29.4865,-98.7049,2134.61,8.91,7.64,0,75.12,20.37,40
29.4701,-98.3901,2228.62,1.27,0,0,10.19,0,30
29.4655,-98.5762,5133.02,5.09,15.28,1.27,20.37,0,53
29.442,-98.6038,2014.61,5.09,95.49,1.27,8.91,0,20
29.6486,-98.426,2267.24,6.37,0,5.09,43.29,0,49
29.3938,-98.5983,1920.34,0,15.28,0,5.09,0,0
29.2946,-98.5486,160.02,0,0,0,0,0,7
29.2826,-98.5067,160.02,0,0,0,1.27,0,1
29.5887,-98.4677,3997.57,8.91,2.55,0,36.92,5.09,13
29.4382,-98.6132,2014.61,0,52.2,0,3.82,0,1
29.3812,-98.4851,4996.68,1.27,7.64,3.82,29.28,0,28
29.5425,-98.4051,3363.32,15.28,0,8.91,22.92,0,43
29.4958,-98.6703,6574.58,14.01,3.82,16.55,30.56,1.27,15
29.4101,-98.5308,8778.61,15.28,61.12,6.37,45.84,0,66
29.4931,-98.6556,5872.7,2.55,2.55,16.55,22.92,0,10
29.2558,-98.5551,160.02,2.55,0,2.55,0,0,1
29.4611,-98.2835,179.8,0,12.73,0,22.92,0,3
29.297,-98.5973,230.32,0,0,0,2.55,0,3
29.3822,-98.4514,3753.81,11.46,24.19,1.27,101.86,0,66
29.5282,-98.3893,1535.0,11.46,11.46,1.27,14.01,1.27,29
29.2228,-98.4153,239.82,5.09,0,0,17.83,0,19
29.329,-98.6418,1277.65,0,8.91,0,2.55,0,3
29.615,-98.4359,1785.18,0,6.37,7.64,17.83,0,1
29.6195,-98.6019,966.09,15.28,271.2,2.55,45.84,1.27,22
29.6156,-98.3954,735.58,0,0,0,0,0,1
29.3017,-98.5064,160.02,0,0,0,0,0,0
